run	study	input_ng	arm	vaf	target_depth	replicate	enzyme	reads	barcodes	molecules	amplicons	amplicon_share	molecules_per_amplicon	reads_per_molecule	barcode_error	barcode_phred	saturated	payload_clonality	mean_consensus_phred	groups_split	genome_equivalents	molecules_per_geq	variant_molecules	p_enough	label	panel_amplicons
SRR8255837	PRJNA507366		WT	0.0		2	Accuprime	2239668	272478	252279	3	0.8704	84093	8.88	0.000933	30.3	0	0.31565	35.88	460	0		0.0	0.0	Accuprime2|Wildtype	3
SRR8255836	PRJNA507366		WT	0.0		3	Accuprime	1434483	214272	202192	3	0.9027	67397	7.09	0.000815	30.89	0	0.3234	36.64	144	0		0.0	0.0	Accuprime3|Wildtype	3
SRR8255829	PRJNA507366		WT	0.0		1	Accuprime_hifi	1996247	262958	245827	3	0.8915	81942	8.12	0.000861	30.65	0	0.32935	36.56	306	0		0.0	0.0	Accuprime_hifi1|Wildtype	3
SRR8255828	PRJNA507366		WT	0.0		2	Accuprime_hifi	2575184	339156	320126	3	0.8986	106709	8.04	0.000819	30.87	0	0.37325	35.75	434	0		0.0	0.0	Accuprime_hifi2|Wildtype	3
SRR8255827	PRJNA507366		WT	0.0		3	Accuprime_hifi	2201458	289812	273331	3	0.8936	91110	8.05	0.000797	30.99	0	0.3528	36.08	422	0		0.0	0.0	Accuprime_hifi3|Wildtype	3
SRR8255826	PRJNA507366		WT	0.0		1	Phusion	1867730	291548	276510	3	0.9067	92170	6.75	0.000757	31.21	0	0.308	37.32	265	0		0.0	0.0	Phusion1|Wildtype	3
SRR8255833	PRJNA507366		WT	0.0		2	Phusion	1849839	297471	282966	3	0.911	94322	6.54	0.00074	31.31	0	0.30995	37.31	252	0		0.0	0.0	Phusion2|Wildtype	3
SRR8255832	PRJNA507366		WT	0.0		3	Phusion	1805196	312671	299625	3	0.9141	99875	6.02	0.00068	31.67	0	0.31355	37.34	222	0		0.0	0.0	Phusion3|Wildtype	3
SRR8255846	PRJNA507366	80	WT	0.0		1	PlatRegular	3810073	217788	168388	3	0.8144	56129	22.63	0.001319	28.8	0	0.2543	36.86	4544	0		0.0	0.0	Seracare WT (1) 80ng PlatSuperfi:PlatRegular|Wildtype	3
SRR8255852	PRJNA507366	80	WT	0.0		2	PlatRegular	4303978	226438	172096	3	0.8037	57365	25.01	0.001337	28.74	0	0.25645	36.58	6530	0		0.0	0.0	Seracare WT (2) 80ng PlatSuperfi:PlatRegular|Wildtype	3
SRR8255850	PRJNA507366	80	WT	0.0		3	PlatRegular	4546599	232378	179071	3	0.8149	59690	25.39	0.001242	29.06	0	0.2577	36.72	6762	0		0.0	0.0	Seracare WT (3) 80ng PlatSuperfi:PlatRegular|Wildtype	3
SRR8255847	PRJNA507366	80	WT	0.0		1	PlatSuperfi	3950757	446778	401395	3	0.8858	133798	9.84	0.001166	29.33	0	0.29005	36.63	1411	0		0.0	0.0	Seracare WT (1) 80ng PlatSuperfi:PlatSuperfi|Wildtype	3
SRR8255853	PRJNA507366	80	WT	0.0		2	PlatSuperfi	3805853	418059	374985	3	0.882	124995	10.15	0.001138	29.44	0	0.29175	36.7	1331	0		0.0	0.0	Seracare WT (2) 80ng PlatSuperfi:PlatSuperfi|Wildtype	3
SRR8255851	PRJNA507366	80	WT	0.0		3	PlatSuperfi	3997194	478428	433489	3	0.8885	144496	9.22	0.001163	29.34	0	0.2998	36.49	1390	0		0.0	0.0	Seracare WT (3) 80ng PlatSuperfi:PlatSuperfi|Wildtype	3
SRR8255831	PRJNA507366		WT	0.0		1	Platinum	2026759	280460	266090	3	0.8922	88697	7.62	0.000785	31.05	0	0.3458	36.58	300	0		0.0	0.0	Platinum1|Wildtype	3
